timestamp_utc,timestamp_sharjah,actual_SpTREff,optimized_SpTREff,setpoint_difference,actual_TempSp1,TempSu,TempSp1_lag_10m,SpTREff_lag_10m,target_temperature,occupied,movie_name,mode,outside_temp,outside_humidity,FbVFD,FbFAD,Co2RA,HuR1,co2_load_category,co2_load_factor,occupied_setpoint,unoccupied_setpoint,comfort_min,comfort_max,hour_sin,hour_cos,day_sin,day_cos,is_overnight_movie,is_precooling,time_remaining_min,time_until_next_min,schedule_instance_used,optimization_status
2026-02-19 07:00:00,2026-02-19 11:00:00,24.0,21.0,-3.0,25.520999908447266,16.0625,25.520999908447266,24.0,21.0,1,[PRE-COOLING] Shelter (18TC),occupied,28.3,24,0.14000000059604645,99.28499984741211,397.4000244140625,63.61749839782715,low,0.0,21.0,24.0,21.0,23.0,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,False,True,,60.0,,success
2026-02-19 07:10:00,2026-02-19 11:10:00,24.0,21.0,-3.0,25.67300033569336,16.798332850138348,25.520999908447266,24.0,21.0,1,[PRE-COOLING] Shelter (18TC),occupied,28.3,24,0.14000000059604645,99.29000091552734,397.4000244140625,64.12666447957356,low,0.0,21.0,24.0,21.0,23.0,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,False,True,,50.0,,success
2026-02-19 07:20:00,2026-02-19 11:20:00,24.0,21.0,-3.0,25.706000010172527,17.678333282470703,25.67300033569336,24.0,21.0,1,[PRE-COOLING] Shelter (18TC),occupied,28.3,24,0.14000000059604645,99.27666473388672,397.4000244140625,64.39166514078777,low,0.0,21.0,24.0,21.0,23.0,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,False,True,,40.0,,success
2026-02-19 07:30:00,2026-02-19 11:30:00,24.0,21.0,-3.0,25.619998931884766,18.34249973297119,25.706000010172527,24.0,21.0,1,[PRE-COOLING] Shelter (18TC),occupied,28.3,24,0.14000000059604645,99.27999877929688,397.4000244140625,64.41999816894531,low,0.0,21.0,24.0,21.0,23.0,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,False,True,,30.0,,success
2026-02-19 07:40:00,2026-02-19 11:40:00,24.0,21.0,-3.0,25.619998931884766,18.804999351501465,25.619998931884766,24.0,21.0,1,[PRE-COOLING] Shelter (18TC),occupied,29.2,21,0.14499999582767487,99.27499771118164,398.0,64.33499908447266,low,0.0,21.0,24.0,21.0,23.0,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,False,True,,20.0,,success
2026-02-19 07:50:00,2026-02-19 11:50:00,24.0,21.0,-3.0,25.612998962402344,19.26333236694336,25.619998931884766,24.0,21.0,1,[PRE-COOLING] Shelter (18TC),occupied,29.2,21,0.1433333307504654,99.2699966430664,395.3000081380208,64.25,low,0.0,21.0,24.0,21.0,23.0,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,False,True,,10.0,,success
2026-02-19 08:00:00,2026-02-19 12:00:00,24.0,21.0,-3.0,25.5989990234375,19.886666615804035,25.612998962402344,24.0,21.0,1,Shelter (18TC),occupied,29.2,21,0.16666666666666666,99.2699966430664,391.7666727701823,63.348331451416016,low,0.0,21.0,24.0,21.0,23.0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,False,False,130.0,,1.0,success
2026-02-19 08:10:00,2026-02-19 12:10:00,24.0,21.0,-3.0,25.5989990234375,20.929999351501465,25.5989990234375,24.0,21.0,1,Shelter (18TC),occupied,29.2,21,0.1599999964237213,99.2699966430664,390.0500030517578,62.714996337890625,low,0.0,21.0,24.0,21.0,23.0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,False,False,120.0,,1.0,success
2026-02-19 08:20:00,2026-02-19 12:20:00,24.0,21.0,-3.0,25.53999964396159,21.703332901000977,25.5989990234375,24.0,21.0,1,Shelter (18TC),occupied,29.2,21,0.15666666130224863,99.2699966430664,386.4666748046875,61.78666559855143,low,0.0,21.0,24.0,21.0,23.0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,False,False,110.0,,1.0,success
2026-02-19 08:30:00,2026-02-19 12:30:00,24.0,21.0,-3.0,25.422000885009766,22.319998741149902,25.53999964396159,24.0,21.0,1,Shelter (18TC),occupied,29.2,21,0.1599999964237213,99.2699966430664,382.70001220703125,60.84499931335449,low,0.0,21.0,24.0,21.0,23.0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,False,False,100.0,,1.0,success
2026-02-19 08:40:00,2026-02-19 12:40:00,24.0,21.0,-3.0,25.422000885009766,22.8249994913737,25.422000885009766,24.0,21.0,1,Shelter (18TC),occupied,29.3,23,0.1599999964237213,99.26666259765625,379.6000162760417,60.926666259765625,low,0.0,21.0,24.0,21.0,23.0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,False,False,90.0,,1.0,success
2026-02-19 08:50:00,2026-02-19 12:50:00,24.0,21.0,-3.0,25.413000106811523,23.27999973297119,25.422000885009766,24.0,21.0,1,Shelter (18TC),occupied,29.3,23,0.1599999964237213,99.2699966430664,381.6000213623047,60.67499923706055,low,0.0,21.0,24.0,21.0,23.0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,False,False,80.0,,1.0,success
