timestamp_utc,timestamp_sharjah,actual_SpTREff,optimized_SpTREff,setpoint_difference,actual_TempSp1,TempSu,TempSp1_lag_10m,SpTREff_lag_10m,target_temperature,occupied,movie_name,mode,outside_temp,outside_humidity,FbVFD,FbFAD,Co2RA,HuR1,co2_load_category,co2_load_factor,occupied_setpoint,unoccupied_setpoint,comfort_min,comfort_max,hour_sin,hour_cos,day_sin,day_cos,is_overnight_movie,is_precooling,time_remaining_min,time_until_next_min,schedule_instance_used,optimization_status
2026-01-23 00:00:00,2026-01-23 04:00:00,27.0,24.0,-3.0,22.15999984741211,17.510000228881836,22.15999984741211,27.0,,0,,unoccupied,15.2,41,0.17999999225139618,100.8375015258789,899.6000366210938,43.369998931884766,unknown,,21.0,24.0,21.0,23.0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,False,False,,420.0,,bypassed
2026-01-23 00:10:00,2026-01-23 04:10:00,27.0,24.0,-3.0,22.18000030517578,17.399999618530273,22.15999984741211,27.0,,0,,unoccupied,15.2,41,0.17999999225139618,100.8375015258789,891.7999877929688,43.439998626708984,unknown,,21.0,24.0,21.0,23.0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,False,False,,410.0,,bypassed
2026-01-23 00:20:00,2026-01-23 04:20:00,27.0,24.0,-3.0,22.18000030517578,17.399999618530273,22.18000030517578,27.0,,0,,unoccupied,15.2,41,0.17999999225139618,100.8375015258789,891.7999877929688,43.439998626708984,unknown,,21.0,24.0,21.0,23.0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,False,False,,400.0,,bypassed
2026-01-23 00:30:00,2026-01-23 04:30:00,27.0,24.0,-3.0,22.189998626708984,17.3799991607666,22.18000030517578,27.0,,0,,unoccupied,15.2,41,0.17999999225139618,100.8375015258789,892.2000122070312,43.529998779296875,unknown,,21.0,24.0,21.0,23.0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,False,False,,390.0,,bypassed
2026-01-23 00:40:00,2026-01-23 04:40:00,27.0,24.0,-3.0,22.219999313354492,17.315000534057617,22.189998626708984,27.0,,0,,unoccupied,15.5,36,0.17999999225139618,100.86250305175781,888.2000122070312,43.619998931884766,unknown,,21.0,24.0,21.0,23.0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,False,False,,380.0,,bypassed
2026-01-23 00:50:00,2026-01-23 04:50:00,27.0,24.0,-3.0,22.219999313354492,17.315000534057617,22.219999313354492,27.0,,0,,unoccupied,15.5,36,0.17999999225139618,100.86250305175781,888.2000122070312,43.619998931884766,unknown,,21.0,24.0,21.0,23.0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,False,False,,370.0,,bypassed
2026-01-23 01:00:00,2026-01-23 05:00:00,27.0,24.0,-3.0,22.239999771118164,17.264999389648438,22.219999313354492,27.0,,0,,unoccupied,15.5,36,0.17999999225139618,100.8499984741211,881.7999877929688,43.64999771118164,unknown,,21.0,24.0,21.0,23.0,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,False,False,,360.0,,bypassed
2026-01-23 01:10:00,2026-01-23 05:10:00,27.0,24.0,-3.0,22.260000228881836,17.264999389648438,22.239999771118164,27.0,,0,,unoccupied,15.5,36,0.17999999225139618,100.8499984741211,880.2000122070312,43.779998779296875,unknown,,21.0,24.0,21.0,23.0,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,False,False,,350.0,,bypassed
2026-01-23 01:20:00,2026-01-23 05:20:00,27.0,24.0,-3.0,22.260000228881836,17.264999389648438,22.260000228881836,27.0,,0,,unoccupied,15.5,36,0.17999999225139618,100.8499984741211,880.2000122070312,43.779998779296875,unknown,,21.0,24.0,21.0,23.0,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,False,False,,340.0,,bypassed
2026-01-23 01:30:00,2026-01-23 05:30:00,27.0,24.0,-3.0,22.28499984741211,17.279998779296875,22.260000228881836,27.0,,0,,unoccupied,15.5,36,0.17999999225139618,100.8499984741211,874.7999877929688,43.91999816894531,unknown,,21.0,24.0,21.0,23.0,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,False,False,,330.0,,bypassed
2026-01-23 01:40:00,2026-01-23 05:40:00,27.0,24.0,-3.0,22.314998626708984,17.264999389648438,22.28499984741211,27.0,,0,,unoccupied,14.6,35,0.17999999225139618,100.8499984741211,872.7999877929688,43.87999725341797,unknown,,21.0,24.0,21.0,23.0,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,False,False,,320.0,,bypassed
2026-01-23 01:50:00,2026-01-23 05:50:00,27.0,24.0,-3.0,22.314998626708984,17.264999389648438,22.314998626708984,27.0,,0,,unoccupied,14.6,35,0.17999999225139618,100.8499984741211,872.7999877929688,43.87999725341797,unknown,,21.0,24.0,21.0,23.0,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,False,False,,310.0,,bypassed
2026-01-23 02:00:00,2026-01-23 06:00:00,27.0,24.0,-3.0,22.329999923706055,17.264999389648438,22.314998626708984,27.0,,0,,unoccupied,14.6,35,0.17999999225139618,100.8499984741211,871.4000244140625,44.02000045776367,unknown,,21.0,24.0,21.0,23.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,False,False,,300.0,,bypassed
2026-01-23 02:10:00,2026-01-23 06:10:00,27.0,24.0,-3.0,22.34000015258789,17.28999900817871,22.329999923706055,27.0,,0,,unoccupied,14.6,35,0.17999999225139618,100.8499984741211,869.6000366210938,44.099998474121094,unknown,,21.0,24.0,21.0,23.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,False,False,,290.0,,bypassed
2026-01-23 02:20:00,2026-01-23 06:20:00,27.0,24.0,-3.0,22.34000015258789,17.28999900817871,22.34000015258789,27.0,,0,,unoccupied,14.6,35,0.17999999225139618,100.8499984741211,869.6000366210938,44.099998474121094,unknown,,21.0,24.0,21.0,23.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,False,False,,280.0,,bypassed
2026-01-23 02:30:00,2026-01-23 06:30:00,27.0,24.0,-3.0,22.354999542236328,17.344999313354492,22.34000015258789,27.0,,0,,unoccupied,14.6,35,0.17999999225139618,100.8499984741211,865.6000366210938,44.209999084472656,unknown,,21.0,24.0,21.0,23.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,False,False,,270.0,,bypassed
