object_name,data_received_on,description,device_id,ismanual,object_id,object_type,present_value,units
VOXZAHIA'AS02,2025-11-07T11:19:20.965 UTC,OUTSTATION-02 & 02A,2122754,False,2122754,device,n/a,n/a
VOX'OS02'Ahu'Ahu14'SpMaxVFD,2025-11-07T11:19:20.965 UTC,VFD Max. Speed Setpoint,2122754,False,8,analogValue,80,percent
VOX_FCU'Flr_01'R_FCU_FY_25'RHvacCoo'TCtlC'SpCEco,2025-11-07T11:16:03.370 UTC,Cooling setpoint for economy,2,False,16,analogValue,35,degreesCelsius
VOX'OS05'SMDB'SMDB1'OnOFF,2025-11-07T11:09:52.707 UTC,Incomer ON/OFF Status,2122757,False,33,binaryInput,active,n/a
VOX'OS04'Ahu'FAHU'OffHum4,2025-11-07T11:13:54.453 UTC,FAHU After Sensible Wheel On Coil Humidity,2122756,False,55,analogInput,83.25999450683594,percentRelativeHumidity
VOX'OS02'Ahu'Ahu5'TsOn,2025-11-07T11:19:20.965 UTC,Time Scheduler - On/Off,2122754,False,10,schedule,1,n/a
VOX'OS04'Ahu'Ahu7'SpFAD,2025-11-07T11:13:54.453 UTC,FA. Damper Open Setpoint for Normal,2122756,False,30,analogValue,80,percent
VOX_FCU'Flr_01'RS_FCU_FY_25'HVAC'TREff,2025-11-07T11:16:03.370 UTC,Effective room temperature,2,False,69,analogValue,21.920000076293945,degreesCelsius
VOX_FCU'Flr_01'RS_FCU_FYR_MAIN SERVER ROOM_9B'ROpUnDev(1)'AQualRIndRu,2025-11-07T11:11:55.586 UTC,Room air quality ind.for room op.unit,233,False,158,multiStateValue,1,n/a
VOX'OS02'Ahu'Ahu5'ChwTemp,2025-11-07T11:19:20.965 UTC,Chilled Water Return Temperature,2122754,False,46,analogInput,n/a,degreesCelsius
VOX'OS01'Ahu'FAHU2'OffTemp3,2025-11-07T11:06:56.469 UTC,FAHU Before Sensible Wheel Off Coil Humidity,2122753,False,66,analogInput,60.77000045776367,percentRelativeHumidity
VOX'OS01'Ahu'FAHU2'AlmPreFl3,2025-11-07T11:06:56.469 UTC,FAHU Pre Filter Status-2,2122753,False,141,binaryInput,inactive,n/a
VOX'OS02'Ahu'Ahu4'RtCo2,2025-11-07T11:19:20.965 UTC,Space Air Co2 Setpoint,2122754,False,40,analogValue,1000,partsPerMillion
VOX_FCU'Flr_01'R_FCU_FYR_SERVER ROOM_9B'ROpUnItf,2025-11-07T11:11:55.586 UTC,Room operator unit interface,233,False,27,structuredView,n/a,n/a
VOX'OS01'MtrEMU'EMU01'00'TBKwh1,2025-11-07T11:06:56.469 UTC,TB Total Active Power _kW,2122753,False,65,trendLog,n/a,n/a
VOX'OS05'Ahu'Ahu12'AlmFlw,2025-11-07T11:09:52.707 UTC,Supply Fan Air Flow Fail Alarm,2122757,False,14,binaryValue,inactive,n/a
VOX'OS02'Ahu'Ahu5'SpHuSpcCt,2025-11-07T11:19:20.965 UTC,Space Air Humidity Cut Off Setpoint,2122754,False,59,analogValue,5,percentRelativeHumidity
VOX'OS04'ExFans'PrjExFan'Tsched,2025-11-07T11:13:54.453 UTC,FanTime Scheduler,2122756,False,10,schedule,1,n/a
VOX_FCU'Flr_01'R_FCU_FY_25'RHvacCoo'TCtlC'FanTRCtrC,2025-11-07T11:16:03.370 UTC,Room temp.controller cooling for fan,2,False,7,loop,67.50785827636719,n/a
VOXZAHIA'AS06'PX_EDOS2,2025-11-07T11:16:27.906 UTC,,2122758,False,2097154,file,n/a,n/a
VOX'OS01'Ahu'AhuMkp2'TRtCHW,2025-11-07T11:06:56.469 UTC,CHW Return Temperature,2122753,False,49,analogInput,n/a,degreesCelsius
VOX'OS02'Mahu1'AhuMkp1'PIDTSu,2025-11-07T11:19:20.965 UTC,PID - Control For Supply Temperature,2122754,False,11,loop,n/a,n/a
VOX'OS05'Ahu'Ahu12'SpMaxVFD,2025-11-07T11:09:52.707 UTC,VFD Max. Speed Setpoint,2122757,False,49,analogValue,100,percent
VOX'OS05'Ahu'Ahu12'HuSu,2025-11-07T11:09:52.707 UTC,Supply Air Humidity,2122757,False,30,analogInput,64.7699966430664,percentRelativeHumidity
VOX'OS05'MtrEMU'EMU01'00'VoltBC,2025-11-07T11:09:52.707 UTC,Voltage B-C,2122757,False,82,analogInput,408.51129150390625,volts
VOX'OS01'SplitUnit'Split2'RUn,2025-11-07T11:06:56.469 UTC,Fan Run Status ,2122753,False,115,binaryInput,inactive,n/a
VOX'OS01'Ahu'AhuMkp2'FlwSeq'FlCl,2025-11-07T11:06:56.469 UTC,Flow calculation,2122753,False,76,analogValue,12999.0986328125,litersPerSecond
VOX'OS04'Ahu'FAHU'AlmTSuLow,2025-11-07T11:13:54.453 UTC,Supply Air Low Temperature Alarm,2122756,False,34,binaryValue,inactive,n/a
VOX_FCU'Flr_01'R_FCU_FY_25'RHvacCoo'TOa,2025-11-07T11:16:03.370 UTC,Outside air temperature,2,False,56,analogValue,n/a,degreesCelsius
VOX'OS02'Ahu'Ahu5'SpTRHiLo,2025-11-07T11:19:20.965 UTC,Room Temperature Hi/Low Limit Setpoint,2122754,False,63,analogValue,4,degreesCelsius
VOX_FCU'Flr_01'RS_FCU_FYR_MAIN SERVER ROOM_9B'ROpUnDev(1)'REeiRu,2025-11-07T11:11:55.586 UTC,Energy effic.indic.room for room op.unit,233,False,156,multiStateValue,2,n/a
WS-Text-pt-BR-x-S-sql,2025-11-07T11:16:03.370 UTC,,2,False,379,file,n/a,n/a
VOX'OS02'Ahu'Ahu16'FbVFD,2025-11-07T11:19:20.965 UTC,VFD Speed Feedback,2122754,False,27,analogInput,91.81999969482422,percent
VOX'OS01'Ahu'FAHU2'AlmAutoSf,2025-11-07T11:06:56.469 UTC,Supply Fan Not in Auto Alarm,2122753,False,31,binaryValue,inactive,n/a
VOX'OS01'Ahu'Ahu17'SpTROcc,2025-11-07T11:06:56.469 UTC,Room Temperature Occupied Setpoint,2122753,False,25,analogValue,25,degreesCelsius
VOX'OS04'Ahu'Ahu8'FbVFD,2025-11-07T11:13:54.453 UTC,VFD Speed Feedback,2122756,False,38,analogInput,83.97000122070312,percent
VOX'OS01'Ahu'Ahu1'TBFbFAD,2025-11-07T11:06:56.469 UTC,Trend Fresh Air Damper Feedback,2122753,False,5,trendLog,n/a,n/a
WS-Text-sk-sql,2025-11-07T11:16:03.370 UTC,,2,False,383,file,n/a,n/a
VOX_FCU'Flr_01'RS_FCU_FY_25'HVAC'Fan'FanHReq,2025-11-07T11:16:03.370 UTC,Fan heating request,2,False,92,analogValue,n/a,percent
VOX'OS05'Ahu'Ahu12'SpHuSpcCt,2025-11-07T11:09:52.707 UTC,Space Air Humidity Cut Off Setpoint,2122757,False,48,analogValue,5,percentRelativeHumidity
VOX_FCU'Flr_01'RS_FCU_FYR_MAIN SERVER ROOM_9B'ROpUnDev(1)'PscBtnIn,2025-11-07T11:11:55.586 UTC,Presence button input value,233,False,84,binaryValue,inactive,n/a
VOX'OS05'MtrEMU'EMU03'00'PowT,2025-11-07T11:09:52.707 UTC,Total Active Power,2122757,False,113,analogInput,36.56114959716797,kilowatts
VOX'OS04'Ahu'FAHU'AlmRAD,2025-11-07T11:13:54.453 UTC,RAD Fail to Open Alarm,2122756,False,32,binaryValue,inactive,n/a
VOX_FCU'Flr_01'R_FCU_FYR_SERVER ROOM_9B'RGrnLf,2025-11-07T11:11:55.586 UTC,Room green leaf,233,False,23,structuredView,n/a,n/a
OnbMdl3BO'OnbMdl,2025-11-07T11:16:03.370 UTC,On-board module,2,False,16,multiStateValue,1,n/a
VOX'OS04'Ahu'Ahu8'AlmTRHi,2025-11-07T11:13:54.453 UTC,Room High Temperature Alarm,2122756,False,23,binaryValue,inactive,n/a
VOX'OS04'Ahu'Ahu6'AlmRACoHi,2025-11-07T11:13:54.453 UTC,Space Air High Co2 Alarm,2122756,False,10,binaryValue,inactive,n/a
VOX'OS02'Ahu'Ahu5'TBHuRt,2025-11-07T11:19:20.965 UTC,Trend Return Air Humidity,2122754,False,50,trendLog,n/a,n/a
VOXZAHIA'AS04'PX_EDOS9,2025-11-07T11:13:54.453 UTC,,2122756,False,2097161,file,n/a,n/a
VOX'OS01'MtrEMU'EMU01'00'VoltBC,2025-11-07T11:06:56.469 UTC,Voltage B-C,2122753,False,112,analogInput,418.7184753417969,volts
VOX'OS04'Ahu'FAHU'TBHuSu,2025-11-07T11:13:54.453 UTC,Trend Supply Air Humidity,2122756,False,50,trendLog,n/a,n/a
VOX'OS01'Ahu'Ahu17'TBStaFlw,2025-11-07T11:06:56.469 UTC,Trend Supply Fan Airflow Status,2122753,False,19,trendLog,n/a,n/a
VOX'OS01'ExFans'PrjExFan2'DampFail,2025-11-07T11:06:56.469 UTC,Damper Fail to Open,2122753,False,40,binaryValue,inactive,n/a
VOX'OS04'Ahu'Ahu13'AlmTrpSf,2025-11-07T11:13:54.453 UTC,Supply Fan VFD Fault Alarm,2122756,False,2,binaryInput,inactive,n/a
VOX'OS02'Ahu'Ahu4'AlmNtAuto,2025-11-07T11:19:20.965 UTC,Supply Fan Not in Auto Alarm,2122754,False,21,binaryValue,inactive,n/a
VOX'OS05'MtrEMU'EMU02'00'CurrC,2025-11-07T11:09:52.707 UTC,Current C,2122757,False,89,analogInput,4.661378860473633,amperes
VOX'OS01'MAakUpFan'MakUpFan1'AlmTrp,2025-11-07T11:06:56.469 UTC,Fan Trip Alarm,2122753,False,69,binaryInput,inactive,n/a
VOX'OS04'Ahu'Ahu8'StaVFDSf,2025-11-07T11:13:54.453 UTC,Supply Fan VFD Status,2122756,False,24,binaryInput,active,n/a
VOX'OS01'MtrEMU'EMU04'00'PowB,2025-11-07T11:06:56.469 UTC,Active Power B,2122753,False,158,analogInput,n/a,kilowatts
VOX'OS04'Ahu'Ahu13'StaVFDSf,2025-11-07T11:13:54.453 UTC,Supply Fan VFD Status,2122756,False,6,binaryInput,active,n/a
VOX_FCU'Flr_01'RS_FCU_FYR_MAIN SERVER ROOM_9B'ROpUnDev(1)'ROpUn(1),2025-11-07T11:11:55.586 UTC,Room operator unit 1,233,False,155,multiStateValue,1,n/a
VOX'OS01'ExFans'KitExFan'ExAirQual,2025-11-07T11:06:56.469 UTC,Exhaust Air Quality,2122753,False,78,analogInput,1135.800048828125,partsPerMillion
VOX'OS04'Ahu'FAHU'OffTemp3,2025-11-07T11:13:54.453 UTC,FAHU Before Sensible Wheel Off Coil Humidity,2122756,False,59,analogInput,46.66999816894531,percentRelativeHumidity
VOX_FCU'Flr_01'RS_FCU_FYR_MAIN SERVER ROOM_9B'ROpUnDev(1)'HCStaRu,2025-11-07T11:11:55.586 UTC,Heating/cooling state for room op.unit,233,False,159,multiStateValue,1,n/a
VOX'OS02'Ahu'Ahu14'SpCo2Hi,2025-11-07T11:19:20.965 UTC,Space Air Co2  High Alarm Setpoint,2122754,False,3,analogValue,800,partsPerMillion
VOX'OS02'Ahu'Ahu14'AlmPreFlt,2025-11-07T11:19:20.965 UTC,Pre-Filter Alarm,2122754,False,1,binaryInput,inactive,n/a
VOX'OS04'Ahu'Ahu7'CmdFAD,2025-11-07T11:13:54.453 UTC,Fresh Air Damper Command,2122756,False,9,analogOutput,80,percent
VOX'OS01'Ahu'AhuMkp2'TBFbCHW,2025-11-07T11:06:56.469 UTC,Trend CHW Valve Feedback,2122753,False,49,trendLog,n/a,n/a
VOX'OS02'Ahu'Ahu15'AlmFlw,2025-11-07T11:19:20.965 UTC,Supply Fan Air Flow Fail Alarm,2122754,False,8,binaryValue,inactive,n/a
VOX'OS01'MtrEMU'EMU05'00'PowC,2025-11-07T11:06:56.469 UTC,Active Power C,2122753,False,176,analogInput,13.925073623657227,kilowatts
VOX_FCU'Flr_01'RS_FCU_FYR_MAIN SERVER ROOM_9B'ROpUnDev(1)'TRRu,2025-11-07T11:11:55.586 UTC,Room temperature for room operator unit,233,False,239,analogValue,19.65999984741211,degreesCelsius
VOX'OS04'Ahu'Ahu8'SpFAD1,2025-11-07T11:13:54.453 UTC,FA. Damper Open Setpoint for Co High,2122756,False,44,analogValue,80,percent
VOX'OS02'Ahu'Ahu16'SpTREff,2025-11-07T11:19:20.965 UTC,Room Temperature Effective Setpoint,2122754,False,36,analogValue,21,degreesCelsius
VOX'OS05'MtrEMU'EMU02'00'CurrAvg,2025-11-07T11:09:52.707 UTC,Average Current,2122757,False,87,analogInput,5.993436336517334,amperes
VOX'OS02'MSFD'MSFD'OnOFF4,2025-11-07T11:19:20.965 UTC,MSFD-4 Male Wash Room,2122754,False,65,binaryInput,active,n/a
VOX'OS04'ELEMU'YPhAms,2025-11-07T11:13:54.453 UTC,Y Phase Amps,2122756,False,83,analogInput,n/a,amperes
